Tanggal,Total Kasus,Meninggal Dunia
18-May,18010,1191
19-May,18496,1221
20-May,19189,1242
21-May,20162,1278
22-May,20796,1326
23-May,21745,1351
24-May,22271,1372
25-May,22750,1391
26-May,23165,1418
27-May,23851,1473
28-May,24538,1496
29-May,25216,1520
30-May,25773,1573
31-May,26473,1613
1-Jun,26940,1641
2-Jun,27549,1663
3-Jun,28233,1698
4-Jun,28818,1721
5-Jun,29521,1770
6-Jun,30514,1801
7-Jun,31186,1851
8-Jun,32033,1883
9-Jun,33076,1923
10-Jun,34316,1959
11-Jun,35295,2000
12-Jun,36406,2048
13-Jun,37420,2091
14-Jun,38277,2134
15-Jun,39294,2198
16-Jun,40400,2231
17-Jun,41431,2276
18-Jun,42762,2339
19-Jun,43803,2373
20-Jun,45029,2429
21-Jun,45891,2465
22-Jun,46845,2500
23-Jun,47896,2535
24-Jun,49009,2573
25-Jun,50187,2620
26-Jun,51427,2683
27-Jun,52812,2720
28-Jun,54010,2754
29-Jun,55092,2805
30-Jun,56385,2876
1-Jul,57770,2934
2-Jul,59394,2987
3-Jul,60695,3036
4-Jul,62142,3089
5-Jul,63749,3171
6-Jul,64958,3241
7-Jul,66226,3309
8-Jul,68079,3359
9-Jul,70736,3417
10-Jul,72347,3469
11-Jul,74018,3535
12-Jul,75699,3606
13-Jul,76981,3656
14-Jul,78572,3710
15-Jul,80094,3797
16-Jul,81668,3873
17-Jul,83130,3957
18-Jul,84882,4016
19-Jul,86521,4143
20-Jul,88214,4239
21-Jul,89869,4320
22-Jul,91751,4459
23-Jul,93657,4576
24-Jul,95418,4665
25-Jul,97286,4714
26-Jul,98778,4781
27-Jul,100303,4838
28-Jul,102051,4901
29-Jul,104432,4975
30-Jul,106336,5058
31-Jul,108376,5131
1-Aug,109936,5193
2-Aug,111455,5236
3-Aug,113134,5302
4-Aug,115056,5388
5-Aug,116871,5452
6-Aug,118753,5521
7-Aug,121226,5593
8-Aug,123503,5658
9-Aug,125396,5723
10-Aug,127083,5765
11-Aug,128776,5824
12-Aug,130718,5903
13-Aug,132816,5968
14-Aug,135123,6021
15-Aug,137468,6071
16-Aug,139549,6150
17-Aug,141370,6207
18-Aug,143043,6277
19-Aug,144945,6346
20-Aug,147211,6418
21-Aug,149408,6500
22-Aug,151498,6594
23-Aug,153535,6680
24-Aug,155412,6759
25-Aug,157859,6858
26-Aug,160165,6944
27-Aug,162884,7064
28-Aug,165887,7169
29-Aug,169195,7261
30-Aug,172053,7343
31-Aug,174796,7417
1-Sep,177571,7505
2-Sep,180646,7616
3-Sep,184268,7750
4-Sep,187537,7832
5-Sep,190665,7940
6-Sep,194109,8025
7-Sep,196989,8130
8-Sep,200035,8230
9-Sep,203342,8336
10-Sep,207203,8456
11-Sep,210940,8544
12-Sep,214746,8650
13-Sep,218382,8723
14-Sep,221523,8841
15-Sep,225030,8965
16-Sep,228993,9100
17-Sep,232628,9222
18-Sep,236519,9336
19-Sep,240687,9448
20-Sep,244676,9553
21-Sep,248852,9677
22-Sep,252923,9837
23-Sep,257388,9977
24-Sep,262022,10105
25-Sep,266845,10218
26-Sep,271339,10308
27-Sep,275213,10386
28-Sep,278722,10473
29-Sep,282724,10601
30-Sep,287008,10740
1-Oct,291182,10856
2-Oct,295499,10972
3-Oct,299506,11055
4-Oct,303498,11151
5-Oct,307120,11253
6-Oct,311176,11374
7-Oct,315714,11472
8-Oct,320564,11580
9-Oct,324658,11677
10-Oct,328952,11765
11-Oct,333449,11844
