No,Y,X1,X2,X3,X4,X5
1,17.5,25,36,2.5,15,23
2,23.4,42,49,10,12,24
3,27,61,59,15,11,23
4,27.1,55,55,15,16,12
5,28,40,35,9,13,23
6,28.2,79,68,5,9,36
7,28.3,81,69,5,6,36
8,32.3,56,46,10,16,12
9,32.4,62,52,7.5,8,36
10,32.6,52,42,10,12,24
11,32.8,66,55,15,14,24
12,34.3,132,77,9,4,36
13,37.8,95,63,8.5,13,24
14,38.9,87,59,6,6,36
15,42.8,57,29,5,12,24
16,42.9,125,68,10,3,24
17,43.3,55,25,1,7,24
18,43.3,100,60,24,6,35
19,43.4,80,50,20,10,36
20,44.1,190,79,15,8,36
21,44.9,93,54,15,9,10
22,48.2,90,50,26,5,36
23,48.3,130,65,10,4,12
24,48.8,65,29,10,11,36
25,48.8,65,29,15,10,24
26,49.2,77,42,6.5,2,36
27,49.5,66,30,11,11,24
28,49.7,71,34,40,16,12
29,49.8,85,46,15,1,24
30,49.9,65,28,6.5,5,36
31,50,260,84,13.5,0,24
32,50,85,45,10,9,36
33,50.4,63,24,25,6,24
34,51.9,66,25,1,5,24
35,52.8,90,44,17,4,24
36,53.7,107,53,14.25,8,35
37,54.4,69,25,20,8,36
38,54.5,132,62,4.5,4,36
39,55.1,142,65,8.5,5,36
40,55.2,142,25,15,5,36
41,59.3,69,46,12.5,17,36
42,62.5,101,25,50,12,12
43,63.8,80,25,25,12,24
44,63.9,82,61,35,4,24
45,64.1,152,41,20,11,36
46,64.6,101,28,15,6,30
47,64.8,85,25,3,8,24
48,65.7,83,64,15,1,36
49,65.9,167,25,10,2,24
50,66.3,83,43,10,10,36
51,66.9,110,26,15,8,36
52,67.9,86,55,20,2,36
53,70,139,33,14,11,24
54,70.2,100,36,9.2,6,36
55,72.3,102,25,20,5,24
56,73.2,93,40,35,7,24
57,74.5,113,54,25,2,36
58,75.1,150,25,11.5,7,36
59,79.1,95,25,15,9,36
60,85,100,25,15,9,35
61,85.5,108,25,10,4,36
62,85.5,109,41,6.95,4,36
63,86.7,135,25,15,9,36
64,88,111,25,8.5,9,36
65,89.3,112,25,10,3,36
66,89.3,114,25,87.5,7,36
67,93.6,110,25,25,10,36
68,94.4,118,25,8,7,36
69,95.8,120,26,17,7,36
70,96.9,121,25,3,7,24
71,99.1,124,26,15,7,36
72,101.5,124,25,15,5,48
73,106,128,28,15,2,36
74,106.5,139,25,25,5,36
75,55.2,134,25,15,5,36
76,110.5,139,25,15,11,35
77,112.5,143,25,3,1,24
78,113.1,144,25,13,6,24
79,114.8,138,25,22.5,3,36
80,114.8,148,25,185,9,36
81,118.2,148,25,20,3,30
82,122.2,154,25,27,8,36
83,123,155,25,15,3,35
84,123.2,158,25,10.5,11,35
85,123.3,158,25,8,4,36
86,123.3,158,25,15,6,12
87,124,159,25,25,7,24
88,125.3,162,25,15,2,18
89,136.4,186,30,30,6,24
90,147.1,189,25,10,7,47
91,186.4,233,25,30,3,12
92,188.7,237,25,16,4,36
93,204,261,25,50,2,35
94,204.9,258,25,40,4,24
95,232.7,102,8,15,2,12
96,245.6,343,33,40,4,35
,,,,,,
Y,: NTF (Juta),,,,,
X1,: OTR (Juta),,,,,
X2,: DP (Juta),,,,,
X3,: Pendapatan (Juta),,,,,
X4,: Umur Kendaraan (Tahun),,,,,
X5,: Tenor (Bulan),,,,,
